"","RMSE_f_1","RMSE_f_2","RMSE_f_3","RMSE_f_4","RMSE_f_5","RMSE_f_6","RMSE_f_7","RMSE_f_8","RMSE_f_9","RMSE_f_10","RMSE_f_11","RMSE_f_12","RMSE_f_13","RMSE_f_14","RMSE_f_15","RMSE_f_16","RMSE_f_17","RMSE_f_18","RMSE_f_19","RMSE_f_20","RMSE_f_21","RMSE_f_22","RMSE_f_23","RMSE_f_24"
"Simul_1",0.00145547593063888,0.00214045521207215,0.00370275362394018,0.00477064106530679,0.00586719756321433,0.00632189731818012,0.00725760514518729,0.00850786361512006,0.00963614079818839,0.011022096441387,0.012954969935129,0.0149740108757027,0.0172248558464004,0.0198633315850893,0.0229831962795814,0.0262993555992675,0.0296009063050561,0.0324946510971798,0.0350129459380775,0.0372477897672314,0.0393120558920331,0.0412111080670504,0.0431229662027921,0.0448520069293186
"Simul_2",0.00241612396983548,0.00213121178278988,0.00190876483993794,0.00221493909701586,0.00488222237186058,0.0050314522384404,0.00533145144641261,0.00814998750648438,0.0101178257425236,0.0109040542256483,0.0123804140930997,0.0134525253188026,0.0135691304645599,0.0131695158514044,0.0127354473561988,0.0124481629307078,0.0121688279224609,0.0122014497270856,0.0123416164376869,0.0121629381732465,0.0120562520455696,0.0119784333807306,0.0117209332330004,0.0114741581096514
"Simul_3",0.00141523776499941,0.00329447042722933,0.00430214161395432,0.00719512879385006,0.00716039125637737,0.00726113713361878,0.00988154404831672,0.011790199478567,0.01251981885904,0.0139587346507347,0.0150036313017351,0.0150757609832631,0.0146059003400149,0.0140990960595632,0.0137044418863742,0.0133330744697461,0.0132461429150929,0.0132683839713862,0.0130165748139303,0.0128366250855761,0.0126890613557154,0.0123986624290815,0.0121274333970408,0.0119624361458274
"Simul_4",0.00255726964600989,0.0033704803288273,0.00672771711537352,0.00647635796858122,0.00657911169318679,0.00970275937125354,0.0117886122373256,0.0125233652552939,0.0140250975665806,0.0150845799330281,0.0151084216318013,0.0145789894048335,0.0140257503934789,0.0136222562359529,0.0132432386303478,0.0131861337336294,0.0132471002662711,0.0129985926508768,0.0128290708691464,0.0126941213148819,0.0123917374755164,0.0121070583674513,0.0119489262368696,0.011858174938611
"Simul_5",0.000582787482395375,0.0051525771839381,0.00444835387827036,0.00441725455190896,0.00861017570545685,0.0110854115964883,0.0118735014566604,0.0135108431653517,0.0146103569395,0.0145811025685877,0.0139953331190681,0.0134078410675683,0.0130436353367577,0.0126970058662685,0.012738761074302,0.0129061572005026,0.0126923142698804,0.0125668344992996,0.0124776412105662,0.0121725085614559,0.0118798907157785,0.0117502988366153,0.0116945732841594,0.0116330360964532
"Simul_6",0.00646616945858014,0.00473258685335893,0.00438126633472114,0.00907431262020954,0.0116832043860304,0.0124162106593226,0.0140866609405497,0.0151671781101674,0.0150515726789656,0.0143708387972466,0.0137087066030041,0.0133079667364514,0.0129306101903977,0.0129758631617293,0.0131549876144183,0.012926585164594,0.0127938010279481,0.0127003556753304,0.0123751979568111,0.0120633047871081,0.011928792926503,0.0118723211582475,0.0118100697929189,0.0120695601206815
"Simul_7",0.00701540050768923,0.006176714571678,0.00678223976379792,0.0082350993354979,0.00890526703794763,0.0111303442130064,0.0123931328157033,0.012233709225311,0.011559028235115,0.0109766689751732,0.0109541150468075,0.0108799245100898,0.0114397413010822,0.0121058179788185,0.0120975963588882,0.0121962771404291,0.0123231472278317,0.0120481880263332,0.0117606120089738,0.011762197728881,0.0118499872663083,0.0119214436415982,0.0123946116268638,0.0126047039089704
"Simul_8",0.00415940530750269,0.012283482452571,0.0153186277831167,0.016045488881013,0.0175142798344311,0.0180640183975677,0.0174767228966562,0.0164287380425344,0.0154920344437593,0.0149224319009102,0.0144037401256521,0.0143774140605535,0.0144992748035146,0.014185711986757,0.0139869668512223,0.0138418591778519,0.0134483836879007,0.0130732344732955,0.0128978206670956,0.012804977973554,0.0127116987747933,0.0129590405001612,0.0129989336422491,0.0132559908795854
"Simul_9",0.0112936818421057,0.0130185945355196,0.0129368081678108,0.0144022092481886,0.0151407161028835,0.0145790946596459,0.0135358240078407,0.0126670664754145,0.0124186893138564,0.0121536031875493,0.0125667069818111,0.0130990187838775,0.0129566420842187,0.0129398634261894,0.0129701771776424,0.012617186670378,0.0122654460132742,0.0121974134173878,0.0122184106327172,0.0122302603865762,0.0126526299143576,0.0128114649585486,0.0132191981262983,0.0137765020237289
"Simul_10",3.63357056274438e-05,0.000677416764006612,0.00293653599662802,0.00441326827345345,0.0046841315925591,0.00428371743611993,0.00432141652116256,0.00635969650048064,0.00741994658155349,0.00946473719678766,0.0111956155586988,0.0115736176947031,0.0120485418719902,0.0125109322855699,0.0122944592937203,0.0120319309059556,0.0122097457930729,0.01247315362754,0.0127055108000337,0.0134409925756026,0.0138263363284344,0.0144922607187149,0.0153040499404408,0.0155915393308397
"Simul_11",0.00100184746399545,0.00357397868492309,0.00506667379276165,0.00520769942389368,0.00466674804882547,0.00464691945255306,0.00678816905758044,0.00786307832379892,0.00997268575796162,0.0117396345500518,0.0120863612915207,0.0125390416193218,0.0129820585816082,0.012724978706468,0.0124256820243725,0.012584891404379,0.012834328881431,0.0130533536122188,0.0137899575235184,0.0141676160821303,0.0148331460891181,0.0156478297215237,0.0159267605392698,0.0161059911730706
"Simul_12",0.00624939143832393,0.00737581231632058,0.00716348500225036,0.006204789726073,0.00584495377558106,0.00771029746571217,0.00863571751351645,0.0106745268223525,0.0123925383997633,0.0126581694651202,0.0130476039290051,0.0134375861158282,0.0131210512830073,0.0127711164968541,0.0128933671369263,0.0131127437794113,0.0133038268148896,0.0140261409322801,0.0143826999926722,0.0150348065531294,0.0158404386265743,0.0161013538956847,0.0162624816280934,0.016195340838948
"Simul_13",0.000105604085285371,0.000716137494892557,0.00412086714263202,0.00613668091605927,0.00931867480879612,0.0104330040910415,0.012668890728946,0.0145143696819633,0.0147786495101853,0.0151685445540147,0.0155593002791244,0.01518664515878,0.0147820837478521,0.0148932259142434,0.0151019325038026,0.0152854302937448,0.0160140687769183,0.0163756410734494,0.0170371592764299,0.0178544460591311,0.0181214079400361,0.0182849291724894,0.0182119594517029,0.0178411808118095
"Simul_14",0.00114302627336915,0.00514676130696102,0.00718936139003679,0.010510687692802,0.0115092202276105,0.0137482395312913,0.0155720528803767,0.0157272484823105,0.0160382146506092,0.0163655674551503,0.0159074073827465,0.0154300023790248,0.0154984258030066,0.015673647220755,0.0158273275103995,0.0165460970083744,0.0168887731218534,0.0175414777356405,0.0183548102499168,0.0186050680541529,0.0187510785136602,0.0186569114605535,0.0182599780083725,NA
"Simul_15",0.00571289447423062,0.00738018789923314,0.0108459031073609,0.0116529275271095,0.0140832391264025,0.0160233054955017,0.01608961560914,0.0163476049637322,0.0166339714510627,0.0160926029056283,0.0155459250035098,0.0155863717849637,0.0157447642080158,0.015882063927427,0.0166131898614994,0.0169483248361082,0.0176065877292326,0.0184308329073477,0.0186697659314497,0.0188021019773367,0.0186887345752315,0.0182705061027022,NA,NA
"Simul_16",0.00136616501993281,0.00631242886191933,0.00669777620120255,0.00994192959837407,0.012929456029888,0.0133543699678282,0.0139144629719802,0.0144272182284529,0.0139194934740423,0.0133989601182279,0.0135433389601961,0.0138068719639717,0.014025717455239,0.0149013641762844,0.0153060047271363,0.0160560585560894,0.0169712647819764,0.0172393311455878,0.0173899990766902,0.0172784641726892,0.0168666434336342,NA,NA,NA
"Simul_17",0.00701632522856865,0.00639427343926486,0.00987335788468702,0.0130239947795173,0.0133486588485685,0.0139131513285957,0.0144215686874343,0.0138168732084594,0.013220731731161,0.0133538792315275,0.0136183044807034,0.0138334743855841,0.0147462567619693,0.0151515476743357,0.0159192618623946,0.0168555006029136,0.01711325073364,0.0172504585238089,0.0171180444337648,0.0166873390412385,NA,NA,NA,NA
"Simul_18",0.00352272801837206,0.00479689845046964,0.00763600136492519,0.00772022085278086,0.00902794289157758,0.0103191163849671,0.00987519694394816,0.00940030782886758,0.0098188289653552,0.0103482303262255,0.0107531254348268,0.0119607189654204,0.0124944239041937,0.0134203860829547,0.014503297679879,0.0148034082565074,0.0149670251602955,0.0148396861634402,0.014444626411672,NA,NA,NA,NA,NA
"Simul_19",0.0103983663828089,0.0133087233532903,0.0128937732483498,0.0138074253410148,0.0144678907838516,0.0135529889764605,0.0127350196274655,0.012834349110452,0.0131012155118704,0.0133052475920378,0.014313087543118,0.0147179815897617,0.0155272068147069,0.0165140215680687,0.0167442921741366,0.0168470213695789,0.0166649245153144,0.0161955236837471,NA,NA,NA,NA,NA,NA
"Simul_20",0.0022223722932635,0.00163810843214269,0.00287056783299882,0.0044201888898367,0.00413645942107344,0.00402207894158261,0.00562425233678152,0.00693208578525087,0.00777151491034106,0.00959453719526826,0.0103354138453503,0.0115106790305123,0.0128125335099655,0.0131526873604661,0.013330025256572,0.0131824208077082,0.0128008364127279,NA,NA,NA,NA,NA,NA,NA
"Simul_21",0.00351165089430605,0.00275576828358173,0.00355704005398524,0.00309937825401144,0.0029687527873971,0.00510952973573111,0.0066138551766619,0.00751360368609506,0.00946351945179233,0.0102054299645389,0.0114071397530592,0.012732289148355,0.013044715698599,0.0131922952748487,0.0130090534394081,0.0126167028228515,NA,NA,NA,NA,NA,NA,NA,NA
